Code	Mean_Case	Mean_Control	SD_Case	SD_Control
1135	24.857142857142858	25.313554439963788	3.8913824205360674	4.528168422900287
2	39.0	24.55265685019206		4.520385126964773
2029	24.398058252427184	25.239853965019527	4.6900825429841575	4.521076213764057
2030	24.457142857142856	25.241597536987943	4.562385448765034	4.533379517079758
2052	24.157009345794393	25.301005373548275	4.099148357459974	4.592104506245328
3437	25.474308300395258	25.489876121315678	4.753062089015249	4.584468213110939
3543	24.700096899224807	25.36902784562775	4.358251681817496	4.54012986054174
3603	24.765498652291104	25.375981095451092	4.673870971579397	4.577544825443779
3666	24.48116298116298	25.31797382143237	4.394217714550931	4.5501778161910345
3669	24.08745832264683	25.276474769012083	4.303672251296816	4.603155712918113
3670	23.89903147699758	25.238130021913804	4.3319205338094005	4.566462234379844
3671	25.293064876957494	25.38500237304224	4.800179485881586	4.5697184581837
3675	24.209013209013207	25.24041009100334	4.414423085325006	4.535056284105938
3685	24.314057632398754	25.455348004094166	4.344072841109908	4.548430177168205
3687	23.695865237366004	25.127064946820546	4.43018397810663	4.502150242119463
3688	23.846226193275335	25.43363977728862	4.209401070032627	4.500291227530731
3691	24.2209145021645	25.706455026455025	4.281911348621277	4.517204226330004
3693	23.275726630007856	25.322419533851278	4.209188186443285	4.533497519775626
3698	23.96792618629174	25.2901878914405	4.275795274603626	4.5326921872077826
4039	24.76530612244898	25.307121298637735	4.4739821059884	4.623945142683287
4085	23.630849220103986	25.41320932176821	4.187286656407138	4.5826004444392305
4266	24.907291666666666	25.619652406417114	4.736922249562707	4.55881396533464
4267	24.480854389163845	25.343002004480603	4.576383823483843	4.5992873623664075
4276	23.851359703337454	24.99161714770798	4.3611855518910545	4.526835073201942
4290	23.245535714285715	24.85645933014354	4.4113060692256365	4.457541795424297
4307	23.983019810221407	25.082295778924994	4.314946030276189	4.50275197531753
4311	24.28985221674877	25.381050889532478	4.3427417912085104	4.557466876452491
4332		25.24409121171771		4.582322149047968
4333	25.75	25.250268794971465	4.387482193696061	4.552721094608694
BCAC2020BC	25.412991656734206	25.228627643876045	4.565484361479018	4.5350602947242
CMDKP2018AF	24.26060606060606	25.446013621794872	4.230522091043586	4.6014873029699555
GCST003763	25.333333333333332	25.391057724391057	5.455168672756779	4.57944090487648
GCST008057	24.97923222152297	25.217400575754343	4.507491380090101	4.562704056980271
GCST009131	23.884615384615383	25.172131147540984	4.909801813327483	4.5197178647825575
GCST009158	24.711840228245364	25.07302564102564	4.3080277884989995	4.4862425842490605
GCST009541	23.44939271255061	25.040769093822327	4.3136101746462545	4.545401184374642
GCST010003	25.363636363636363	25.817637062874518	4.63840480707905	4.567474278574362
GCST011364	23.43652561247216	24.905097665555026	4.119302519122362	4.522938563477202
GCST90011766	25.22962962962963	25.356529209621993	4.601884150407676	4.52536648400931
GCST90011808	27.0	25.442186529416986		4.53614819467816
GCST90011809	25.726872246696036	25.38312166390576	4.464439992821165	4.583831450842629
GCST90011810	24.676595744680853	25.33491485215623	4.227212047538379	4.54150194589196
GCST90011811	25.1171875	25.318912777486453	4.163371643147791	4.562737384403232
GCST90011812	23.22961373390558	25.186813186813186	4.184567482042554	4.523559250674627
GCST90011816	24.386138613861387	24.951477969882877	4.835225531512885	4.61956216413843
GCST90011817	24.022346368715084	25.305007969130106	3.8714676647693596	4.550803740356407
GCST90011819	24.71358024691358	25.296548117154813	4.307711054184289	4.604477769148581
GCST90011820	24.58614864864865	25.35552829858069	4.040741421245035	4.561536052645687
GCST90013410	25.109575988565982	25.37480079681275	4.258832437254708	4.570121117949907
GCST90014023	24.690036900369005	25.321573261309926	4.570421448931765	4.5353977246589405
GCST90061440	23.8	25.227774064171122	4.375998981787769	4.5705804215560395
GCST90129435	24.0	25.136114966930677	4.272678975453667	4.522414970704106
GCST90129439	22.788546255506606	25.061003724064552	4.144762090950618	4.52271056234019
GCST90129442	23.558073654390935	25.176060856016864	4.269693506832415	4.56956402816271
GCST90132223	24.3375	25.273681537289427	4.358015098354327	4.555896842233824
PGC2019ALCUSE	23.89763779527559	25.661625866822625	4.334861718871178	4.654216369065744
PGC2019AN	27.941176470588236	25.339659081367035	5.639931163534868	4.5404637578890465
PGC2019ASD	23.25	25.323845771967566	6.075908711186061	4.627206941036613
PGC2019MDD	23.964812712826333	24.844734601192165	4.642703445199299	4.552912585272934
PGC2019PTSD	23.176470588235293	25.05623512026927	4.126670784628438	4.580734258824499
PGC2021ALZwoUKBB	23.166666666666668	25.25630147242326	4.281744192888376	4.527998819358115
PGC2022SCZ	23.986301369863014	25.155619360131254	4.5475669645211	4.714838077229968
