CODE,TOTAL,POS,NEG
1135,1,0,1
2029,18,8,10
2030,5,1,4
2052,15,12,3
2,12,0,12
3437,3,2,1
3543,0,0,0
3603,2,2,0
3666,3,0,3
3669,0,0,0
3670,1,0,1
3671,0,0,0
3675,5,1,4
3685,13,2,11
3687,9,3,6
3688,106,2,104
3691,170,4,166
3693,111,3,108
3698,0,0,0
4039,4,2,2
4085,53,5,48
4266,10,7,3
4267,6,4,2
4276,3,1,2
4290,5,0,5
4307,19,2,17
4311,18,6,12
4332,0,0,0
4333,0,0,0
BCAC2020BC,46,16,30
CMDKP2018AF,6,1,5
GCST003763,1,1,0
GCST008057,6,0,6
GCST009131,2,0,2
GCST009158,6,3,3
GCST009541,49,1,48
GCST010003,33,26,7
GCST011364,162,2,160
GCST90011766,10,4,6
GCST90011808,18,4,14
GCST90011809,0,0,0
GCST90011810,0,0,0
GCST90011811,0,0,0
GCST90011812,7,0,7
GCST90011816,3,0,3
GCST90011817,0,0,0
GCST90011819,0,0,0
GCST90011820,2,1,1
GCST90013410,13,12,1
GCST90014023,36,8,28
GCST90061440,17,8,9
GCST90129435,1,0,1
GCST90129439,3,1,2
GCST90129442,9,1,8
GCST90132223,22,7,15
PGC2019ALCUSE,8,5,3
PGC2019AN,0,0,0
PGC2019ASD,3,3,0
PGC2019MDD,16,1,15
PGC2019PTSD,1,0,1
PGC2021ALZwoUKBB,23,12,11
PGC2022SCZ,47,16,31
